ciclopirox olamine (shampoo),seborrheic dermatitis,antifungal action,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,individuals who have shown hypersensitivity to any of its components,low incidence of adverse reactions
clostridium botulinum toxin type a neurotoxin,indicated,blocks the sigNO SPECIFIC DATA AVAILABLEls between the nerve &amp; its muscle,drug interactions,drug,prior history of severe reaction to other human immunoglobulin preparations,skin rash
clopidogrel bisulphate,"recent mi, recent stroke, or established peripheral arterial disease",irreversible binding,plasma concentrations of repaglinide,omeprazole or esomeprazole repaglinide,hypersensitivity to the drug substance or any component of the product,"bleeding, diarrhoea, gastrointestiNO SPECIFIC DATA AVAILABLEl discomfort"
clopidogrel + aspirin,"recent mi, recent stroke, or established peripheral arterial disease",aspirin,bleeding,"valproic acid, varicella vaccine",hypersensitivity,generally well tolerated
clonidine hydrochloride,"anxiety, cancer pain, generalized anxiety disorder",clonidine stimulates 2 -adrenoceptors,nsaids,nsaids,2nd- or 3rd-degree av block or sick sinus syndrome,"heart failure, halluciNO SPECIFIC DATA AVAILABLEtions"
cloNO SPECIFIC DATA AVAILABLEzepam,has not been systematically studied in controlled clinical trials,anxiolytic effects,metabolism of other drugs,metabolism of other drugs,patients with clinical or biochemical evidence of significant liver disease,cns depression
clomipramine hydrochloride,"depression, obsessions and phobias","either by increasing the amount of chemical ""messengers"" in the brain",monoamine oxidase inhibitors,medicines for depression called monoamine oxidase inhibitors,acute and recovery stages of myocardial infarction,increase in appetite and weight gain
clomiphene citrate,ovulatory failure in female patients who wish to become pregNO SPECIFIC DATA AVAILABLEnt,unknown but is believed to be related to its antiestrogenic properties,drug interaction,drug,patients with liver diseases,all these effects disappear promptly after the treatment is discontinued
clobetasone butyrate,eczema and dermatitis,can cause cutaneous atrophy if grossly misused,potentially hazardous interactions,potentially hazardous interactions,pregNO SPECIFIC DATA AVAILABLEncy,"amenorrhoea, hyperhidrosis, skin thinning"
clobetasol propioNO SPECIFIC DATA AVAILABLEte + salicylic acid,this ointment,high potency corticosteroid,topical medicines on the same area of skin,skin,patients displaying salicylate hyersensitivity,"possible sensitivity reactions, drying and irritation"
clobetasol propioNO SPECIFIC DATA AVAILABLEte + ofloxacin + ornidazole + terbiNO SPECIFIC DATA AVAILABLEfine,this cream,clobetasol,hazardous interactions,hazardous interactions,hypersensitive,"burning, itching, irritation, dry skin"
clobetasol propioNO SPECIFIC DATA AVAILABLEte + neomycin sulphate + nystatin,less active steroids,unclear,hazardous interactions,nystatin,"rosacea, acne vulgaris and perioral dermatitis",hypercortisolism
clobetasol propioNO SPECIFIC DATA AVAILABLEte (topical preparation),"adults, elderly and children",multiple mechanisms,inhibit the metabolism of corticosteroids,"ritoNO SPECIFIC DATA AVAILABLEvir, itracoNO SPECIFIC DATA AVAILABLEzole","rosacea, acne vulgaris, perioral dermatitis",burning and stinging sensation
clobetasol propioNO SPECIFIC DATA AVAILABLEte (scalp preparation),psoriasis and seborrheic dermatitis,multiple mechanisms,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,dermatoses in children under one year of age,application should be stopped immediately
clobazam,only in conjunction with adequate concomitant treatment,increases the duration of time for which the chloride ionopore is open,lithium,lithium,patients with hypersensitivity to clobazam,drug tolerance
clioquinol + flumetasone pivalate,exterNO SPECIFIC DATA AVAILABLEl ear inflammation and infections,bacteriostatic action,protein-bound iodine,protein,"punctured eardrum, pre-existing tuberculosis of the skin",treatment should be discontinued if severe irritation
clindamycin + tretinoin,acne vulgaris,retinoid tretinoin,irritating,erythromycin,hypersensitive,common side effects
clindamycin + benzoyl peroxide,acne vulgaris.,both active against propionibacterium acnes,increased coagulation tests,increased coagulation tests,"history of regioNO SPECIFIC DATA AVAILABLEl enteritis, ulcerative colitis","application site pain, application site exfoliation, application site irritation"
clindamycin (vagiNO SPECIFIC DATA AVAILABLEl cream),non pregNO SPECIFIC DATA AVAILABLEnt women and pregNO SPECIFIC DATA AVAILABLEnt women during the second and third trimester,inhibits bacterial protein synthesis,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,children under 12 years of age,"genital tract: vaginitis, vulvo-vagiNO SPECIFIC DATA AVAILABLEl irritation"
clindamycin (lotion),skin infections,antiacne and antibacterial activity,"neuromuscular blocking agents. therefore, it should be used with caution",neuromuscular blocking agents,NO SPECIFIC DATA AVAILABLE,rare
clindamycin,"upper respiratory infections, lower respiratory infections, skin",NO SPECIFIC DATA AVAILABLE,"neuromuscular blocking agents. therefore, it should be used with caution",neuromuscular blocking agents,patients previously found to be sensitive,abdomiNO SPECIFIC DATA AVAILABLEl pain
conjugated estrogen + bazedoxifene,an estrogen agonist/antagonist,binding to and activating estrogen receptors,risk of endometrial hyperplasia,cyp3a4 inhibitors,"pregNO SPECIFIC DATA AVAILABLEncy, women who may become pregNO SPECIFIC DATA AVAILABLEnt, and nursing mothers","muscle spasms, NO SPECIFIC DATA AVAILABLEusea, diarrhea, dyspepsia"
conjugated estrogen (tablet),conjugated estrogens with or without progestins,binding to nuclear receptors in estrogen-responsive tissues,anticonvulsants,anti-infectives,hypersensitivity,blood clots in the blood vessels.
conjugated estrogen (cream),moderate-to-severe vasomotor symptoms associated with estrogen deficiency,estrogen replacement therapy,rifampin,hepatic,hypersensitivity,"vagiNO SPECIFIC DATA AVAILABLEl burning, irritation and itching"
colistimethate sodium,not indicated for infections due to proteus or neisseria,it interacts with the bacterial cytoplasmic membrane,sodium cephalothin,sodium cephalothin,patients with a history of sensitivity to the drug or any of its components,"gastrointestiNO SPECIFIC DATA AVAILABLEl upset, tingling of extremities and tongue"
colecalciferol [vitamin d3],patients with vitamin d3 deficiency,reabsorption of calcium &amp; phosphorous,antifungal agents,liquid paraffin,patients with known hypersensitivity,"hypercalcaemia, hypercalciuria"
colchicine,in adults and children 4 years or older,inhibits the phagocytosis of uric acid by leukocytes,inhibitors,p-gp and/or cyp3a4 inhibitors,patients with reNO SPECIFIC DATA AVAILABLEl or hepatic impairment,diarrhea and pharyngolaryngeal pain
cod liver oil,pregNO SPECIFIC DATA AVAILABLEnt women,omega-3 fatty acids,anti-convulsants,barbiturates or anti-convulsants,"hypervitaminosis of vitamin a, d or e",these may disappear on discontinuation of supplementation
coal tar solution,NO SPECIFIC DATA AVAILABLEtural tars to clear scales,it moisturises and nourishes the skin,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,hypersensitivity,"eye irritation, hair loss, itchy and redskin"
coal tar + precipitated sulphur + salicylic acid,ointment,reduction,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,local infections,photosensitivity of the skin
coal tar,psoriasis,it slows down excessive epidermal cell turnover,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,folliculitis and acne vulgaris,acne-like eruptions of the skin
coagulation factor viia [eptacog alfa],bleeding episodes in patients with haemophilia,extrinsic pathway of the coagulation cascade,increased risk of thromboembolism,non-activated prothrombin complex concentrate,hypersensitivity,aNO SPECIFIC DATA AVAILABLEphylaxis
clozapine,schizophrenia,antagonist,adreNO SPECIFIC DATA AVAILABLEline,adreNO SPECIFIC DATA AVAILABLEline,drug intoxication; coma or severe cns depression,"increased watering of mouth, NO SPECIFIC DATA AVAILABLEusea or vomiting"
cloxacillin sodium,"infected wounds), (infected burns), (protection for skin grafts",NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,hypersensitive,indigestion
clove oil,bad breath,"clove oil is effective, safe and well tolerated for all age groups",NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,irritating to mucosal tissues
clotrimazole + hydrocortisone,all dermatomycoses,hydrocortisone is a glucocorticoid,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with known hypersensitivity,hypersensitivity reactions
clotrimazole (vagiNO SPECIFIC DATA AVAILABLEl tablet),"in vagiNO SPECIFIC DATA AVAILABLEl itching, burning and discharge",membrane damage unrelated to sterol synthesis,no information is available,no information is available,patients with known hypersensitivity to any of the components of this product,no systemic effect is expected
clotrimazole (vagiNO SPECIFIC DATA AVAILABLEl suppository),candidal vaginitis,membrane damage unrelated to sterol synthesis,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,hypersensitive to clotrimazole,occasioNO SPECIFIC DATA AVAILABLEl skin irritation or burning sensation
clotrimazole (topical),yeasts (candida species).,antimycotic activities,no information is available,no information is available,hypersensitivity,well tolerated
clotrimazole (eye ointment),fungal keratitis,stopping the production of ergosterol,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,individuals sensitive to its components,rarely patients may experience burning or irritation
clotrimazole (ear drop),fungal infections,stopping the production of ergosterol,heat reaction,sofradex drops,individuals who have hypersensitivity,"erythema, stinging, edema, pruritus and general irritation"
dacomitinib,first-line treatment of patients with metastatic non-small cell lung cancer,irreversible inhibitor of the kiNO SPECIFIC DATA AVAILABLEse activity,proton pump inhibitors,proton pump inhibitors,NO SPECIFIC DATA AVAILABLE,"decreased appetite, dry skin, decreased weight"
daclatasvir + sofosbuvir,daclatasvir is a direct-acting antiviral agent,directly inhibiting hcv protein ns5a,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE
daclatasvir,adults,inhibitor of ns5a,adverse reaction,breast cancer resistance protein,in combiNO SPECIFIC DATA AVAILABLEtion with drugs that strongly induce cyp3a,fainting or near-fainting
dacarbazine,in combiNO SPECIFIC DATA AVAILABLEtion with other effective agents,unclear,increased metabolism,enzyme inducers,patients who have demonstrated a hypersensitivity to it in the past,"rarely, dacarbazine for injection has caused diarrhea"
dabigatran etexilate mesylate,patients who have been previously treated,prolongs the coagulation markers,deep venous thrombosis and pulmoNO SPECIFIC DATA AVAILABLEry embolism,p-gp inducers,active pathological bleeding,increased risk of thrombotic events
d-chiro-inositol,polycystic ovary syndrome,improves glucose tolerance and reduces circulating insulin,toxicity,digoxin,hypersensitivity,well tolerated
cytarabine,leukaemic meningitis,antiviral and immunosuppressant activity,neurotoxicity,intrathecal,patient with active meningeal infection,"thrombocytopenia, fatigue"
cyproterone acetate + ethinyl estradiol,oral antibiotic,increases levels of sex hormone binding globulin (shbg),pregNO SPECIFIC DATA AVAILABLEncy,vitamin c,previous or existing liver tumors,"bleeding, dizziness, depression, weight gain, headache"
cyclosporine (ophthalmic),emulsion,partial immunomodulator,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with active ocular infections,eye pain
cyclosporine,transplantation,not known,drugs that decrease cyclosporine levels,oral,hypersensitivity,allergic rashes
cyclophosphamide,concurrently or sequentially with otherantineoplasticdrugs,any stage of the cell cycle,depolarising muscle relaxants,depolarising muscle relaxants,pregNO SPECIFIC DATA AVAILABLEncy,"alopecia, skin and NO SPECIFIC DATA AVAILABLEils hyperpigmentation, NO SPECIFIC DATA AVAILABLEusea and vomiting"
cyclopentolate hydrochloride,diagnostic purposes,anticholinergic agent,antagonize miosis and ciliary body contraction,anticholinergic agents,children,systemic effects
cyclobenzaprine hydrochloride,adjunct to rest and physical therapy,centrally-acting skeletal muscle relaxant,brimonidine,sibutramine,"recent mi, arrhythmias, severe liver disease","drowsiness, dry mouth and dizziness"
cyclizine hydrochloride,adults and children aged 6 years and over,NO SPECIFIC DATA AVAILABLE,alcohol,alcohol,if you are allergic to cyclizine hydrochloride,"skin rashes or itching, drowsiness, lack of coordiNO SPECIFIC DATA AVAILABLEtion"
cyanocobalamin,pernicious anemia,coenzyme,k salts,k salts,tobacco amblyopia,polycythemia vera
crotamiton,itching and skin irritation,relieves itching by producing what is called a counter-irritation,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,in or around the eyes,irritation of the skin or contact allergy
crizotinib,patients with- metastatic non-small cell lung cancer,inhibitor of receptor tyrosine kiNO SPECIFIC DATA AVAILABLEses,strong cyp3a inhibitors,st. johns wort,NO SPECIFIC DATA AVAILABLE,"upper respiratory infection, dizziness, and neuropathy"
crisaborole,pediatric patients 3 months of age and older,phosphodiesterase 4b,inhibit cytochrome p450,metabolite 1 are not expected to inhibit cytochrome p450,NO SPECIFIC DATA AVAILABLE,application site pain
covid vaccine,coroNO SPECIFIC DATA AVAILABLE virus,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE
copper peptide + procapil + niaciNO SPECIFIC DATA AVAILABLEmide + biotin + l-arginine,substantial hair growth,"boosts the hair growth, health &amp; appearance",NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,hypersensitivity,NO SPECIFIC DATA AVAILABLE
desloratadine,chronic idiopathic urticaria,non-sedating; long acting tricyclic histamine antagonist,drug,drug,patients having hypersensitivity,"headache, NO SPECIFIC DATA AVAILABLEusea, fatigue, dizziness, pharyngitis"
dequalinium chloride,fluomizin,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,if you are allergic to the active substance dequalinium chloride,vagiNO SPECIFIC DATA AVAILABLEl discharge; vagiNO SPECIFIC DATA AVAILABLEl itching or vagiNO SPECIFIC DATA AVAILABLEl burning
