,generic_name,use_cases,mechanism_of_action,drug_interactions,food_interactions,contraindications,side_effects
431,cetirizine hydrochloride (ophthalmic),ocular itching associated with allergic conjunctivitis,selective inhibition of h1 histamine receptors,<NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,<NO SPECIFIC DATA AVAILABLE,"ocular hyperemia, instillation site pain and visual acuity reduction"
432,cetirizine hydrochloride,asthma,without any significant anticholinergic and antiserotonic effects,drug interactions,drugs,patients with a history of hypersensitivity,somnolence
433,cetalkonium chloride + choline salicylate,orthodontic device,inhibition of prostaglandin production,inhibit the action of uricosurics,salicylates may enhance the effect of anticoagulants,if allergic to salicylates,asthma attacks
434,ceritinib,adult patients with metastatic non-small cell lung cancer,kinase inhibitor,concurrent use of strong cyp3a inducers,grapefruit and grapefruit juice,patients with known hypersensitivity,gastrointestinal adverse reactions
435,cephalexin,infections when caused by susceptible organisms,it kills bacteria by interfering in the synthesis of the bacterial cell wall,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with known hypersensitivity,"nausea, vomiting, diarrhoea and abdominal discomfort"
436,cephradine,infections caused by sensitive gram-positive and gram-negative bacteria,the cell wall of bacteria,risk of kidney damage,diuretics,patients with known or suspected hypersensitivity to cephalosporins,hypersensitivity phenomena
437,celiprolol hydrochloride,it is used to treat high blood pressure,partial beta-2 agonist activity,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,allergic,"dizziness or light headedness, weakness, or fainting"
438,celecoxib,for the relief of the signs and symptoms of osteoarthritis,inhibition of prostaglandin synthesis,aluminium and magnesium-containingantacid,aluminium and magnesium-containingantacid,aspirin or other nsaids,allergy aggravated
439,cefuroxime axetil + clavulanic acid,switch therapy,cefuroxime inhibits bacterial cell wall synthesis,effect of postprandial absorption,probenecid,patients with known allergy to cephalosporin &amp,"nausea, vomiting, diarrhea, abdominal discomfort or pain"
440,cefuroxime axetil,it is indicated for the treatment of infections caused by sensitive bacteria,antibacterial agent,potentially hazardous interactions,hazardous interactions,patients with known allergy to cephalosporins,rashes and gastrointestinal disturbances
441,ceftriaxone sodium,lower respiratory tract infections,beta lactamases,drug interactions,drug,hypersensitivity to cephalosporin antibiotics,"diarrhea, nausea and vomiting, stomatitis and glossitis"
442,ceftibuten dihydrate,mild-to-moderate infections,bactericidal,ranitidine,ranitidine,patients with known allergy to the cephalosporin group of antibiotics,vomiting
443,ceftazidime pentahydrate,infections caused by susceptible strains of the designated organisms,inhibition of enzymes responsible for cell-wall synthesis,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients who have shown hypersensitivity,local reactions following iv injection and allergic and gastrointestinal reactions
444,ceftazidime + avibactam,antibacterial agents,"non -lactam, -lactamase inhibitor",<NO SPECIFIC DATA AVAILABLE>,<NO SPECIFIC DATA AVAILABLE,"anaphylactic reaction, severe skin reaction",do not take medicines that stop or slow bowel movement
445,almond + coconut + edible pine + salep,spermatorrhoea oligospermia,enhances retentive power and relieves oligospermia,<NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE>,contraindication,no significant side effect has been observed in the therapeutic dosage
446,acacia + dates + asparagus + edible pine,sexual debility,formulation,<NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in the therapeutic dosage
447,abhayarista,haemorrhoid bleeding piles,"cooling, tonic, and carminative",NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,no absolute contraindications,no significant side effect
448,23 herb formula to increase breast milk,15,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE
449,acarbose,adults with type 2diabetes mellitus,different,loss of blood glucose control,insulin,patients with known hypersensitivity to the drug,tell your doctor or pharmacist promptly
450,acalabrutinib,at least one prior therapy,small-molecule inhibitor of btk,gastric acid reducing agents: avoid co-administration with proton pump,gastric acid reducing agents,NO SPECIFIC DATA AVAILABLE,"headache, diarrhea, and musculoskeletal pain"
451,abiraterone acetate,metastatic castration-resistant prostate cancer,covalent binding mechanism,strong cyp3a4 inducers,strong cyp3a4 inducers,hypersensitivity,headache
452,abemaciclib,in combination with endocrine therapy,inhibitor of cyclin-dependent kinases 4 and 6,strong and moderate cyp3a inhibitors,strong and moderate cyp3a inhibitors,NO SPECIFIC DATA AVAILABLE>,"anemia, leukopenia"
453,abacavir + lamivudine + zidovudine,combination with other antiretrovirals,phosphorylated,sorbitol-containing medicines,sorbitol,patients,"nausea, headache, malaise and fatigue, and nausea and vomiting"
454,ciclopirox olamine (nail lacquer),mild to moderate onychomycosis,poorly understood,systemic antifungal agents,topical solution,individuals who have shown hypersensitivity to any of its components,allergic reaction to ciclopirox is rare
455,ciclopirox olamine (cream),mild to moderate inflammatory fungal infections,broad spectrum of antifungal action,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,individuals who have shown hypersensitivity to any of its components,low incidence of adverse reactions
456,ciclesonide (nasal spray),patients aged 6 years and older,aqueous suspension,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,fewer side effects are seen
457,ciclesonide (inhalation aerosol),asthma,hydrolyzation by endogenous esterases,the risk of clinical adverse effect,nelfinavir,hypersensitivity,rash and eczema. systemic effects of inhaled corticosteroids
458,choriogonadotropin alpha,only if enrolled in anin vitrofertilization program,binds to the lh/hcg receptor,significant drug interactions,drug,prior hypersensitivity to hcg preparations,injection
459,cholera saline,in cholera,NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,"fever, ongoing cough"
460,chlorthalidone,edema associated with congestive heart failure,thiazide-type diuretic- antihypertensive,glucose tolerance,glucose tolerance,patients with renal disease or with impaired hepatic function,rise in blood lipids
461,chlorpromazine hydrochloride,mania and hypomania,slight ganglion-blocking activity,adverse drug reaction,alcohol,circulatory collapse. cns depression,"cardiovascular: postural hypotension, ecg changes."
462,chlorpheniramine maleate,urticaria sensitivity reactions,blocking h1-receptor competitively,calcium chloride,meglumine adipiodone,newborn or premature infants,well-tolerated
463,chloroxylenol + triclosan,"insect bites, sunburn, cuts, scratches, abrasions",chlorinated bisphenol antiseptic,drug interactions,drug,hypersensitivity,reversible brown staining of the teeth
464,chloroxylenol,antiseptic lubricant for vaginal examinations and on forceps,disinfection,drug interactions,drug,hypersensitivity,reversible brown staining of the teeth
465,chloroquine phosphate,treatment of malaria prophylaxis and suppression of malaria,interferes with the nucleoprotein synthesis of the patient,cimetidine,cimetidine,there is no absolute contraindication,headache and gastrointestinal disturbances
466,chlorhexidine hydrochloride + nystatin,it is used to treat skin infections,poorly absorbed from the gastrointestinal tract,drug interactions,drug,those with a history of possible chlorhexidine-related allergic reactions,allergic skin reactions
467,chlorhexidine hydrochloride + cetrimide,amp,antimicrobial agent,drug interactions,drug,"eye, ear, mucous membrane or body cavities",skin irritation
468,chlorhexidine gluconate + isopropyl alcohol,pre-operative surgical hand disinfection,bacteriostatic and bactericidal,soaps and other anionic agents,hypochlorite bleaches,chlorhexidine,irritative skin reactions
469,chlorhexidine gluconate + cetrimide,for cleansing and irrigating the skin and dirty wounds,cationic surfactants,NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,"brain, meninges, eyes or perforated eardrum",cetrimide may have a prolonging effect on the wound healing process
470,chlorhexidine gluconate [7.1%],omphalitis (infection of the umbilical cord) in newborn,both bacteriostatic and bactericidal action,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE>,<NO SPECIFIC DATA AVAILABLE
471,chlorhexidine gluconate [4%],surgical hand scrub,both bacteriostatic and bactericidal,NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,allergic,NO SPECIFIC DATA AVAILABLE
472,chlorhexidine gluconate [1%],antiseptic cream,both bacteriostatic and bactericidal,brown stains,fabrics,patients who are hypersensitive to chlorhexidine,allergic reactions
473,chlorhexidine gluconate [0.2%],"following oral surgery, in mentally or physically handicapped patients",bacteriostatic and bactericidal depending on its concentration,sulfates,"soaps, other anionic agents",hypersensitivity,transient taste disturbance; parotid gland swelling
474,clascoterone,12 years of age and older,potent antagonist at ars,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,local skin reactions
475,clarithromycin,streptococcal pharyngitis sinusitis,inhibiting microsomal protein synthesis in susceptible organisms,serum theophylline concentrations,terfenadine,patients receiving terfenadine,"nausea, vomiting, diarrhoea and abdominal pain"
476,citric acid monohydrate,dry cough,reduce the dry cough and soothes the throat from any related discomfort and pain,drug-drug interaction,drug-drug,hypersensitivity,no known side effects
477,citicoline sodium,cerebrovascular disease,inhibits the activation of phospholipase a2,meclophenoxate,meclophenoxate,patients with hypertonic of the parasympathetic nervous system.,discrete hypotensive effect
478,citalopram hydrobromide,obsessive-compulsive disorder and social phobia,antidepressant,metabolism,omeprazole,patients with a hypersensitivity,gastro-intestinal effects
479,cisplatin,advanced and metastatic ovarian carcinoma,cells are killed at all stages,myelosuppression,cytotoxic drugs,"myelosuppressed patients, or patients with hearing impairment","kidneys, bone marrows and ears"
480,ciprofloxacin + hydrocortisone acetate,steroid responsive inflammatory ocular conditions,hydrocortisone is a corticosteroid,increased toxicity,ethanol,newborn babies,steroid
481,ciprofloxacin + dexamethasone,anti-infective component,interference with the enzyme dna gyrase,specific drug interaction,ophthalmic,newborn babies,adverse reactions
482,ciprofloxacin (ophthalmic),prophylaxis in otic surgeries such as mastoid surgery,bactericidal action,drug interaction studies,drug,hypersensitivity,hyperemia
483,ciprofloxacin,"respiratory tract infections,urinary tract infections, pelvic inflammatory diseases",it inhibits bacterial dna synthesis,magnesium or aluminum containing antacids or sucralfate,calcium,patients who have known hypersensitivity,"headache, dizziness, joint pain and skin rashes"
484,ciprofibrate,hypertriglyceridemia with or without low hdl cholesterol,it also increases levels of hdl cholesterol,oral anticoagulant therapy,oral anticoagulants,pregnancy and lactation or when pregnancy is suspected concurrent use with another fibrate,"headache, dizziness, somnolence, vertigo, nausea, vomiting"
485,cinnarizine + dimenhydrinate,prophylaxis of motion sickness,calcium antagonists,drugs,alcohol,"patients with angle-closure glaucoma, convulsions","impaired vision, allergic reactions, light sensitivity, and difficulty in urinating"
486,cinnarizine,labyrinthine arteriosclerosis,"selective calcium antagonist, inhibiting the influx of ca 2+ intracellularly",drug interactions,anticoagulants or hypoglycaemics,hypotensive patients,somnolence and gastrointestinal disturbances are extremely rare
487,cinchocaine hydrochloride,surface anaesthesia,decrease of permeability of the nerve cell to sodium ions,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,application to inflamed or infected tissues,cardiac arrest
