generic_name,contraindications_description,contraindication_result
ethinyl estradiol + drospirenone (21 tablet),"preparations containing estrogen/progestogen combinations should not be used in the presence of any of the conditions listed below. if any of the conditions appear for the first time during their use, the product should be stopped immediately. thrombosis (venous or arterial) present or in history (e.g. deep venous thrombosis, pulmonary embolism, myocardial infarction, cerebrovascular accident) presence or history of prodromi of a thrombosis (e.g.transient ischaemic attack, angina pectoris) presence or history of migraine with focal neurological symptoms diabetes mellitus with vascular involvement disturbed lipometabolism the presence of a severe or multiple risk factor(s) for venous or arterial thrombosis may also constitute a contraindication pancreatitis or a history thereof if associated with severe hypertriglyceridemia presence or history of severe hepatic disease as long as liver function values have not returned to normal severe renal insufficiency or acute renal failure presence or history of liver tumours (benign or malignant) known or suspected malignant conditions of the genital organs or the breasts, if sex steroid-influenced undiagnosed vaginal bleeding known or suspected pregnancy hypersensitivity to any of the components of this tablet.",pancreatitis or a history thereof
ethinyl estradiol + desogestrel + ferrous fumarate,no data available,no data available
ethinyl estradiol + desogestrel (0.03 mg),"do not use the combined pill if you have any of the conditions listed below. if any of these apply to you, tell your doctor before starting to use this tablet. your doctor may advise you to use a different type of pill or an entirely different (non-hormonal) method of birth control. if you have, or have ever had a disorder affecting the blood circulation. in particular, those conditions relating to thrombosis. thrombosis is the formation of a blood clot. this may occur in the blood vessels of the legs (deep vein thrombosis), the lungs (pulmonary embolism), the heart (heart attack), the brain (stroke), or other parts of the body. if you have or have ever had a condition that may be a first sign of a heart attack (such as angina pectoris or chest pain) or stroke (such as transient ischaemic attack or small reversible stroke). if you have diabetes mellitus with blood vessel damage. if you have jaundice (yellowing of the skin) or severe liver disease. if you have or have had cancer of the breast or the genital organs. if you have or have had a benign or malignant tumour in the liver. if you have any unexplained vaginal bleeding. if you are pregnant or think you might be pregnant. if you are allergic to any of the ingredients of this tablet. if any of these conditions appear for the first time while using the pill, stop taking it at once and consult your doctor. in the meantime, use non-hormonal contraceptive measures.",use non-hormonal contraceptive measures
ethinyl estradiol + desogestrel (0.02 mg),"you should not use this tablet if you have or ever had any of the conditions listed below: a blood clot in a blood vessel of legs (deep vein thrombosis, dvt), lungs (pulmonary embolus, pe) or other organs a disorder affecting blood clotting- for instance, protein c deficiency, protein s deficiency, antithrombin-lll deficiency, factor v leiden or antiphospholipidantibodies need an operation or off to feet for a long time a heart attack or stroke angina pectoris any of the following diseases that may increase risk of a clot in the arteries: severe diabetes with blood vessel damage, very high blood pressure, a very high level of fat in the blood (cholesterol or triglycerides), a condition known as hyperhomocysteinaemia a type of migraine called ""migraine with aura"" severe liver disease or liver tumour cancer affected by sex hormones- such as some cancers of the breast, womb lining or ovary vaginal bleeding that has not been explained by doctor allergy (hypersensitivity) to any of the ingredients in this tablet if you suffer from any of these or get them for the first time while taking this tablet contact your doctor as soon as possible stop taking this tablet.",allergy
ethanol + isopropyl alcohol,no data available,no data available
ethambutol,ethambutol is contraindicated in patients who are known to be hypersensitive to this drug. it is also contraindicated in patients with known opticneuritisunless clinical judgment determines that it may be used. ethambutolis contraindicated in patients who are unable to appreciate and report visual side effects or changes in vision,patients who are known to be hypersensitive to this drug
etanercept,"if any hypersensitivity to etanercept or to any component of the formulation. incase of sepsis or risk of sepsis. treatment with etanercept should not be initiated in patients with serious active infections, including chronic or localized infection.",incase of sepsis or risk of sepsis
eszopiclone,"depression, severe chronic obstructive lung disease, severe liver disease, weakened patient, having thoughts of suicide.",having thoughts of suicide.
estriol (vaginal),"do not use estriol cream if: you have or have ever had breast cancer, or if you are suspected of having it, ovarian cancer, heart attack, stroke, angina, liver disease , thrombosis, pulmonary embolism, vaginal cancer. you are pregnant or think you may be pregnant you have any unexplained vaginal bleeding, blood clotting disorder, endometrial hyperplasia, porphyria, and various kind of allergic reaction. jaundice, migraine pain, high blood pressure &amp; breathing problem you have had an allergic reaction to estriol, or any of the other ingredients of estriol",you are pregnant or think you may be pregnant
ferrous ascorbate + folic acid + zinc sulfate,it is contraindicated in patients with haemolytic anaemia and in conditions with increased hypersensitivity to any of its components and increased body iron content.,increased hypersensitivity to any of its components and increased body iron content
ferrous ascorbate,"it is contraindicated in hemosiderosis, hemochromatosis, hemolytic anemia.","hemosiderosis, hemochromatosis"
ferric pyrophosphate citrate,no data available,no data available
ferric derisomaltose,"ferric derisomaltose is contraindicated in patients with a history of serious hypersensitivity to ferric derisomaltose or any of its components. reactions have included shock, clinically significant hypotension, loss of consciousness, and/or collapse.",hypersensitivity to ferric derisomaltose
